id,in_reply_to_user_id,text,created_at,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/id,referenced_tweets/0/type,entities/hashtags/0/entities/start,entities/hashtags/0/entities/end,entities/hashtags/0/entities/tag,entities/urls/0/entities/start,entities/urls/0/entities/end,entities/urls/0/entities/url,entities/urls/0/entities/expanded_url,entities/urls/0/entities/display_url,entities/mentions/0/entities/start,entities/mentions/0/entities/end,entities/mentions/0/entities/username,entities/mentions/0/entities/id,entities/urls/0/entities/images/0/entities/url,entities/urls/0/entities/images/0/entities/width,entities/urls/0/entities/images/0/entities/height,entities/urls/0/entities/status,entities/urls/0/entities/title,entities/urls/0/entities/description,entities/urls/0/entities/unwound_url
1467468240527847433,8.43106869518377e+17,@JUNGWOO98FC hooh butuh liburan lagi sebulan🥲,2021-12-05T12:17:47.000Z,1385521176600928259,0,1,0,0,1.4674668657230725e+18,replied_to,,,,,,,,,0.0,12.0,JUNGWOO98FC,1181069414.0,,,,,,,
1467468049661894656,,"Pak sy butuh liburan. Liburan gk selalu jalan2 pak, ntuh capek buat sy, soalnya kl liburan sy bagian yg nyetir. Liburan sy cukup at home and doing nothing dh tjukup. https://t.co/1cWD0IJGKv",2021-12-05T12:17:01.000Z,2953158806,0,0,0,0,1.4674470521246515e+18,quoted,,,,166.0,189.0,https://t.co/1cWD0IJGKv,https://twitter.com/collegemenfess/status/1467447052124651523,twitter.com/collegemenfess…,,,,,,,,,,,
1467466170382970881,,"aduh yaallah jgn ngadi² yh 😔 sy butuh liburan jg,, udh mumet bgt 😭🙏🏻 https://t.co/NX9ty5ShEu",2021-12-05T12:09:33.000Z,1077264178954493952,0,0,0,0,1.4674470521246515e+18,quoted,,,,69.0,92.0,https://t.co/NX9ty5ShEu,https://twitter.com/collegemenfess/status/1467447052124651523,twitter.com/collegemenfess…,,,,,,,,,,,
1467466097834168323,1.1021488904997724e+18,"sumpah lah ya gw stres ma tugas, gw juga butuh liburan 😞😭",2021-12-05T12:09:16.000Z,1102148890499772416,0,0,0,0,1.4674660026485596e+18,replied_to,,,,,,,,,,,,,,,,,,,
1467462500660563969,,Sedang butuh hiburan juga liburan,2021-12-05T11:54:58.000Z,1310794720788926465,0,1,1,0,,,,,,,,,,,,,,,,,,,,,
1467460543619350530,,"Kenapa akhir tahun butuh liburan?  Karena Spt,  sppd,  laporan,  spj,  bok,  renstra, janji janjimu,  harus selesai akhir tahun.",2021-12-05T11:47:12.000Z,4225969273,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467459485782331395,1.0460840087428014e+18,"@collegemenfess padahal tenaga pendidik juga butuh liburan 🥲 

liburan tuh ga harus travelling, sesimpel seharian tanpa aplikasi chat, makan enak, nyium udara segar, dan dengerin lagu healing.
emang keterlaluan nih orang pusat. ga ngotak. kalo punya anak, yaaa palingan anaknya studi di luar 🤷‍♀️",2021-12-05T11:43:00.000Z,1426928954976342017,8,0,184,0,1.4674470521246515e+18,replied_to,,,,,,,,,0.0,15.0,collegemenfess,1.0460840087428014e+18,,,,,,,
1467459204537409537,,"damn it, idfc gue butuh liburan. ok fine kalo emg ga mau ada liburan tpi klo mau msk sekola ga ush belajar free class aja atau mungkin ada lomba buat seru seruan biar murid ga stress ??? https://t.co/nNTiEkpsLj",2021-12-05T11:41:53.000Z,1460630266540552194,0,0,0,0,1.4673418730354196e+18,quoted,,,,187.0,210.0,https://t.co/nNTiEkpsLj,https://twitter.com/schfess/status/1467341873035419648,twitter.com/schfess/status…,,,,,,,,,,,
1467458801880092672,,butuh liburan 1 minggu,2021-12-05T11:40:17.000Z,1396134529769762823,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
1467458259992727552,,aku butuh liburan biar waras 🙏,2021-12-05T11:38:07.000Z,1381267643861114880,0,2,0,0,,,,,,,,,,,,,,,,,,,,,
