id,in_reply_to_user_id,text,created_at,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,referenced_tweets/0/id,referenced_tweets/0/type,entities/urls/0/entities/start,entities/urls/0/entities/end,entities/urls/0/entities/url,entities/urls/0/entities/expanded_url,entities/urls/0/entities/display_url,entities/mentions/0/entities/start,entities/mentions/0/entities/end,entities/mentions/0/entities/username,entities/mentions/0/entities/id,entities/hashtags/0/entities/start,entities/hashtags/0/entities/end,entities/hashtags/0/entities/tag,entities/urls/0/entities/images/0/entities/url,entities/urls/0/entities/images/0/entities/width,entities/urls/0/entities/images/0/entities/height,entities/urls/0/entities/status,entities/urls/0/entities/title,entities/urls/0/entities/description,entities/urls/0/entities/unwound_url,entities/cashtags/0/entities/start,entities/cashtags/0/entities/end,entities/cashtags/0/entities/tag
1468171836009504768,1.1800745739134116e+18,"@hu_aiem @gatauakulupaa @moviemenfes gw spoil dikit, ini sbenernya genre horror sih, ada manusia imitasi gitu, dan seluruh dunya punya imitasinya, mereka hidup berdampingan tapi imitasi selalu ditindas, jadi akhirnya malah mereka menguasai dunia",2021-12-07T10:53:37.000Z,1169973694354952192,0,1,0,0,1.4681569931226235e+18,replied_to,,,,,,24.0,36.0,moviemenfes,1565895180.0,,,,,,,,,,,,,
1468170421568634882,,Korban keegoisan pemimpin negara yang haus akan menguasai 1 dunia https://t.co/at8WV77pmx,2021-12-07T10:48:00.000Z,1227762364134486016,0,1,0,0,1.4675221577312215e+18,quoted,66.0,89.0,https://t.co/at8WV77pmx,https://twitter.com/FYudiWibowo4/status/1467522157731221506,twitter.com/FYudiWibowo4/s…,,,,,,,,,,,,,,,,,
1468168419019485192,,apa ada wanita yang tidak ingin menguasai uang kita? – Di dunia ini? tidak ada! Titik! Tidak ada!,2021-12-07T10:40:03.000Z,2277027488,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1468166679465058304,2609699414.0,@yurjimin Lagi sibuk menguasai dunia.,2021-12-07T10:33:08.000Z,626235633,0,1,0,0,1.468165919692112e+18,replied_to,,,,,,0.0,9.0,yurjimin,2609699414.0,,,,,,,,,,,,,
1468162836631207938,1.4344874255820677e+18,@mesmeriche SUNGHOON SATORU MENGUASAI DUNIA INI,2021-12-07T10:17:52.000Z,2496602521,0,0,0,0,1.4681611526517064e+18,replied_to,,,,,,,,,,,,,,,,,,,,,,
1468156949862617090,472857347.0,@WidasSatyo Good looking + sugih + anak orang kaya + orang dalemnya banyak = menguasai dunia,2021-12-07T09:54:28.000Z,993125359,0,2,30,0,1.468032486542246e+18,replied_to,,,,,,0.0,11.0,WidasSatyo,472857347.0,,,,,,,,,,,,,
1468156446193848322,,"""km lulus mau ngapain?
menguasai dunia",2021-12-07T09:52:28.000Z,1364486325785698304,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1468155837671608323,,-cf tiket ke mars berapa deh? cf sudah menguasai dunia mau pindah ke mars aja 😭 https://t.co/FY4K1m0osZ,2021-12-07T09:50:03.000Z,1274057947811733504,3,0,27,0,,,80.0,103.0,https://t.co/FY4K1m0osZ,https://twitter.com/changlixverse/status/1468155837671608323/photo/1,pic.twitter.com/FY4K1m0osZ,,,,,,,,,,,,,,,,,
1468151908577677313,1.1535854760889423e+18,"@wibujawa Ayam itu berbahaya kalo tidak dikonsumsi, populasi nya tidak berkurang meski dibunuh secara masif. Takut dia menguasai dunia",2021-12-07T09:34:26.000Z,1253682922768330753,0,0,0,0,1.4674477843033252e+18,replied_to,,,,,,0.0,9.0,wibujawa,1.1535854760889423e+18,,,,,,,,,,,,,
1468147000583471104,100421650.0,@dedonc @rudysarwa @DiposuroP @wajahsementara @Ajiek_Alma78 @Dmz_73 @AremaNita__ @agama_nusantara TETAPI MAU MENGUASAI DUNIA DGN DAKWAHNYA!,2021-12-07T09:14:56.000Z,1304457912,0,0,1,0,1.4681240249998008e+18,replied_to,,,,,,81.0,97.0,agama_nusantara,100436019.0,,,,,,,,,,,,,
